Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
0  0.8149  0.305  1.666  0.7061  0.5532  0.3759  6.978  3.546  3.02  0.3766 5.874e+05  4.2882e+06 	1.4886e+05  1.5176e+06 	2.9298e+07  3.4282e+06 	2.6429e+05  4.1655e+06 	1.2681e+05  1.5634e+06 	2.9546e+07  2.9401e+06 	-1.3533e+06  4.8333e+06 	55972  1.5124e+06 	3.0329e+07  2.5934e+06 	-7.6675e+05  4.5019e+06 	9144.3  1.6538e+06 	3.0009e+07  2.9655e+06 	0  0 	0  0 	0  0 	
800.0   0.8149  0.305  1.666  0.7061  0.5532  0.3759  6.978  3.546  3.02  0.3766 5.7274e+07  2.5761e+06 	-9.6141e+06  1.0906e+06 	3.1365e+07  3.5371e+05 	-1.0072e+07  2.3825e+06 	-3.1638e+06  1.1745e+06 	1.8636e+07  4.8424e+05 	5.5502e+06  3.9528e+06 	-2.2957e+07  9.7237e+05 	4.9487e+07  1.2112e+06 	2.706e+07  2.7721e+06 	1.9277e+07  9.3808e+05 	1.8369e+07  1.9787e+06 	0  0 	0  0 	0  0 	
1600.0   0.4235  0.4651  0.3865  1.163  1.164  1.119  4.328  0.7839  2.079  0.6846 3.2522e+07  1.5032e+06       -1.2023e+07  5.2453e+05         3.0961e+07  1.4171e+05  1.5146e+07  1.8407e+06  -1.558e+07  6.111e+05   2.0889e+07  2.3142e+05  4.4302e+07  2.3467e+06  -2.6602e+07  6.4539e+05         4.8706e+07  5.4988e+05  3.303e+07  1.6224e+06   2.8209e+07  6.5152e+05  3.849e+07  1.5279e+06   0  0    0  0    0  0
2400.0   0.4912  0.3273  0.3651  1.266  1.223  1.057  4.755  1.102  2.298  0.8491 2.5407e+07  9.0532e+05        -1.6016e+07  3.5301e+05         3.1836e+07  73822       5.3981e+06  1.1278e+06  -1.4517e+07  4.0567e+05         2.096e+07  1.4578e+05   3.1065e+07  1.6297e+06  -2.8124e+07  2.8451e+05         4.6507e+07  3.9984e+05  4.3368e+07  7.9483e+05  2.5763e+07  4.986e+05   4.6514e+07  1.6192e+06  0  0    0  0    0  0
3200.0   0.6141  0.3206  0.4513  1.371  1.399  1.281  5.088  1.463  2.543  0.3698 2.4978e+07  6.3536e+05        -1.8178e+07  2.3031e+05         3.2323e+07  42400       2.5947e+06  6.2946e+05  -1.1528e+07  2.8273e+05         1.9888e+07  1.1034e+05  1.2248e+07  9.5861e+05  -2.7603e+07  1.7069e+05         4.9552e+07  1.8764e+05  4.8005e+07  6.2506e+05  2.0276e+07  3.5297e+05  4.5603e+07  6.7471e+05  0  0    0  0    0  0
4000.0   0.4118  0.459  0.6836  1.515  1.541  1.529  4.69  1.533  2.643  0.08897 2.4123e+07  3.3874e+05         -1.8945e+07  1.3095e+05         3.2437e+07  28830       4.2226e+06  4.1818e+05  -1.1796e+07  1.8816e+05         1.9579e+07  66816       1.3095e+07  7.3563e+05  -2.6998e+07  84328      4.9908e+07  1.303e+05   4.858e+07  2.9554e+05   1.8961e+07  2.251e+05   4.8006e+07  4.0433e+05  0  0    0  0    0  0
4800.0   0.5342  0.5577  1.644  1.7  1.636  1.577  4.444  1.276  2.456  0.07529 2.6983e+07  2.1923e+05  -1.7787e+07  67391      3.2436e+07  15370       1.2606e+06  2.4346e+05  -1.2915e+07  1.2305e+05         2.0052e+07  34253       1.6164e+07  3.7626e+05  -2.7123e+07  48021      5.183e+07  77541        4.7911e+07  2.1561e+05  2.1452e+07  1.2405e+05  4.3089e+07  2.669e+05   0  0    0  0    0  0
5600.0   0.57  0.4919  1.751  1.787  1.756  1.77  5.274  1.409  2.735  0.01231 2.8744e+07  1.1051e+05   -1.6975e+07  51035      3.2342e+07  10042       -1.3742e+06  1.2093e+05         -1.3046e+07  65958      2.0391e+07  21420       2.0015e+07  2.5627e+05  -2.7017e+07  29832      5.216e+07  47570        4.757e+07  95668        2.2532e+07  74022       4.0717e+07  1.2707e+05  0  0    0  0    0  0
6400.0   0.4075  0.3972  1.462  1.794  1.78  1.788  5.223  1.456  2.724  0.1039 2.9533e+07  72717       -1.6495e+07  30163      3.2282e+07  5023.4      -1.9609e+06  1.0449e+05         -1.3561e+07  35258      2.0596e+07  12888       2.3308e+07  1.6647e+05  -2.6842e+07  21141      5.2401e+07  39597       4.6712e+07  56885       2.344e+07  49100        3.9299e+07  94466       0  0    0  0    0  0
7200.0   0.3261  0.3384  1.18  1.722  1.788  1.795  5.234  1.496  2.717  0.234 3.1149e+07  97313        -1.5914e+07  28902      3.2288e+07  3653.2      -4.5314e+06  1.3006e+05         -1.4407e+07  46688      2.0922e+07  17246       2.7997e+07  1.9478e+05  -2.6298e+07  25248      5.3481e+07  53686       4.5452e+07  49082       2.4613e+07  58596       3.7722e+07  87686       0  0    0  0    0  0
