Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
534640.0   0.7818  0.7199  1.76  0.2853  0.08803  0.3191  2.93  0.5134  1.286  0.3554 1.1727e+06  4.313e+05     -3.3157e+05  1.5743e+05         3.2138e+07  2.9749e+05  -7.1225e+05  4.3455e+05         -2.2072e+05  1.4596e+05         3.4766e+07  2.9662e+05  4.9652e+05  4.783e+05   -5.5617e+05  1.3903e+05         3.3876e+07  2.556e+05   -1.0431e+06  3.8648e+05         -1.9049e+05  1.5518e+05         2.9533e+07  2.5862e+05  2.4663e+06  4.3323e+05  -2.0395e+05  1.334e+05  2.908e+07  3.3194e+05
535640.0   0.7719  0.7086  1.746  0.2811  0.09136  0.3248  2.929  0.5131  1.255  0.3578 1.8841e+06  4.3111e+05  -2.0331e+05  1.5695e+05         3.3094e+07  3.3015e+05  -9.3637e+05  4.3405e+05         -4.103e+05  1.4657e+05  4.0134e+07  3.1187e+05  1.221e+06  4.8279e+05   -1.2894e+06  1.4635e+05         3.7424e+07  2.5224e+05  -1.7424e+06  3.8914e+05         -2.0089e+05  1.5303e+05         2.8934e+07  2.5872e+05  4.6034e+06  4.343e+05   -2.647e+05  1.3285e+05  2.7699e+07  3.3344e+05
536640.0   0.7609  0.6899  1.733  0.2835  0.08012  0.3143  2.897  0.5108  1.25  0.353 1.5541e+06  4.3227e+05    -2.5171e+05  1.5681e+05         3.372e+07  3.3302e+05   -1.0161e+06  4.3407e+05         -2.2607e+05  1.4746e+05         3.947e+07  3.2403e+05   3.931e+05  4.8764e+05   -1.2744e+06  1.4838e+05         3.6159e+07  2.5315e+05  -1.792e+06  3.8733e+05  -2.4603e+05  1.5273e+05         2.9078e+07  2.585e+05   4.061e+06  4.3307e+05   -2.429e+05  1.3306e+05  2.7969e+07  3.3439e+05
537640.0   0.7385  0.6598  1.705  0.289  0.07495  0.3011  2.725  0.5536  1.271  0.3543 2.0429e+06  4.3291e+05   -2.4765e+05  1.5696e+05         3.6655e+07  3.8154e+05  -1.2123e+06  4.3424e+05         -3.1775e+05  1.5057e+05         4.5512e+07  3.9667e+05  4.0074e+05  5.0283e+05  -2.5353e+06  1.583e+05  3.9852e+07  2.5025e+05  -3.6106e+06  3.9049e+05         -18610  1.5174e+05      2.8159e+07  2.5834e+05  6.5657e+06  4.3323e+05  -1.2708e+05  1.328e+05  2.6392e+07  3.3813e+05
538640.0   0.7499  0.6508  1.716  0.3002  0.07117  0.3013  2.673  0.5372  1.274  0.3571 2.1277e+06  4.3259e+05  -4.092e+05  1.5686e+05  3.6487e+07  4.4229e+05  -1.1357e+06  4.3464e+05         -3.5994e+05  1.5126e+05         4.3853e+07  3.8566e+05  5.9791e+05  5.1061e+05  -2.3132e+06  1.6426e+05         3.9551e+07  2.5041e+05  -3.6004e+06  4.0455e+05         19706  1.5205e+05       2.8272e+07  2.5889e+05  6.3255e+06  4.3489e+05  -1.225e+05  1.3324e+05  2.6865e+07  3.3628e+05
539640.0   0.7674  0.6609  1.735  0.3052  0.07056  0.3169  2.692  0.5036  1.236  0.3572 1.8029e+06  4.3488e+05  -2.8188e+05  1.5679e+05         3.6659e+07  4.6221e+05  -1.1645e+06  4.3428e+05         -1.8903e+05  1.5413e+05         4.4564e+07  4.1774e+05  -29125  5.2671e+05      -2.3328e+06  1.7e+05    3.8748e+07  2.5964e+05  -3.3858e+06  4.0513e+05         -1.0834e+05  1.5193e+05         2.8362e+07  2.5917e+05  6.0612e+06  4.3343e+05  -1.4285e+05  1.3368e+05         2.6767e+07  3.3832e+05
540640.0   0.762  0.6687  1.724  0.3018  0.06973  0.3151  2.765  0.4953  1.201  0.3545 1.623e+06  4.3566e+05    -1.1296e+05  1.5729e+05         3.8149e+07  4.5534e+05  -1.3026e+06  4.3413e+05         -53050  1.5371e+05      4.7759e+07  4.7147e+05  -6.2145e+05  5.2093e+05         -3.0622e+06  1.7828e+05         3.9515e+07  2.5162e+05  -4.1294e+06  4.071e+05  -9719.8  1.5243e+05     2.8015e+07  2.6055e+05  6.7427e+06  4.3524e+05  -84261  1.3407e+05      2.589e+07  3.4448e+05
541640.0   0.7352  0.6546  1.692  0.2984  0.06844  0.3006  2.715  0.5192  1.198  0.3571 1.7099e+06  4.3829e+05  -2.3056e+05  1.5841e+05         4.5425e+07  5.6042e+05  -2.2036e+06  4.3565e+05         4.6665e+05  1.6385e+05  5.7267e+07  6.6372e+05  -3.3345e+06  5.6457e+05         -5.2724e+06  2.0672e+05         4.2371e+07  2.4966e+05  -7.3921e+06  4.1717e+05         24265  1.5152e+05       2.7068e+07  2.6044e+05  9.9137e+06  4.3892e+05  1.2216e+05  1.3411e+05  2.3817e+07  3.5952e+05
542640.0   0.7309  0.6415  1.689  0.3026  0.06783  0.2938  2.648  0.5096  1.214  0.3544 1.689e+06  4.3825e+05   -3.8626e+05  1.5754e+05         4.2704e+07  5.9993e+05  -1.8671e+06  4.3627e+05         2.1988e+05  1.6535e+05  5.1972e+07  6.5308e+05  -2.2615e+06  5.7801e+05         -4.215e+06  2.0896e+05  4.0824e+07  2.5586e+05  -6.1541e+06  4.2339e+05         6151.9  1.5149e+05      2.751e+07  2.6054e+05   8.47e+06  4.3852e+05    52254  1.3401e+05       2.5118e+07  3.5601e+05
543640.0   0.7438  0.6396  1.705  0.3083  0.07046  0.3065  2.594  0.4989  1.216  0.3553 1.6326e+06  4.3741e+05  -4.9805e+05  1.5689e+05         4.1486e+07  6.781e+05   -1.511e+06  4.375e+05   1.0016e+05  1.6577e+05  4.8991e+07  5.5507e+05  -1.516e+06  5.9044e+05  -3.8311e+06  2.0919e+05         4.0378e+07  2.6422e+05  -6.0085e+06  4.497e+05  2.1182e+05  1.5166e+05  2.7667e+07  2.6049e+05  7.9395e+06  4.3951e+05  1.6956e+05  1.3475e+05  2.5762e+07  3.4406e+05
