Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
800.0   0.8585  0.3976  0.4832  0.4859  0.4428  0.3222  5.716  3.648  2.948  0.1717 -2.1267e+07  1.1322e+06     -1.253e+06  3.1776e+05  3.5058e+07  3.0428e+05  5.9421e+06  6.1487e+05  1.6636e+06  2.4341e+05  2.431e+07  61946        -1.1578e+07  1.0394e+06         4.1128e+06  2.3525e+05  3.9689e+07  5.4192e+05  -1.8691e+07  1.0657e+06         -1.679e+06  3.0505e+05  3.1725e+07  4.7546e+05  0  0    0  0    0  0
1600.0   0.2817  0.6168  0.994  0.5747  0.6774  0.6959  6.4  1.131  2.371  0.2743 -2.6255e+07  7.248e+05        -4.5101e+06  2.5429e+05         3.8333e+07  1.4115e+05  1.5674e+07  4.184e+05   1.367e+06  1.6188e+05   2.441e+07  42842        -3.0323e+06  7.0825e+05         8.8133e+05  1.7062e+05  4.1482e+07  2.0022e+05  -2.488e+07  6.2471e+05  1.9157e+06  2.2526e+05  3.4717e+07  2.9485e+05  0  0    0  0    0  0
2400.0   0.9144  0.4172  0.5021  1.176  1.184  0.9028  5.331  1.195  2.632  0.6727 -2.3363e+07  5.8571e+05      -4.5487e+06  1.4849e+05         3.7532e+07  98156       1.5116e+07  2.563e+05   4.8653e+05  97616       2.4649e+07  28878       -2.3963e+06  5.0055e+05         27028  1.264e+05        3.8932e+07  1.2534e+05  -2.2441e+07  4.8895e+05         2.4921e+06  1.1487e+05  3.3552e+07  1.653e+05   0  0    0  0    0  0
3200.0   0.8709  0.4599  0.5353  1.436  1.468  1.482  6.107  1.532  2.845  0.4119 -1.8892e+07  1.6243e+05       -4.5346e+06  80070      3.6965e+07  42838       1.5796e+07  1.6052e+05  1.7145e+05  52051       2.4658e+07  17811       -4.6726e+06  3.3376e+05         8.5221e+05  86694       3.8347e+07  79455       -2.055e+07  2.9595e+05  3.3137e+06  82419       3.3535e+07  85216       0  0    0  0    0  0
4000.0   0.7344  0.5293  0.4113  1.582  1.667  1.815  6.115  1.208  2.723  0.1359 -1.7704e+07  85767    -4.3862e+06  48152      3.6874e+07  26511       1.7802e+07  1.0052e+05  -6.4487e+05  32523      2.4939e+07  12223       -5.9313e+06  1.8069e+05         1.294e+05  54337        3.6709e+07  53976       -2.4227e+07  1.9644e+05         4.9489e+06  41326       3.3677e+07  45399       0  0    0  0    0  0
4800.0   0.4885  0.4295  0.7646  1.685  1.827  1.929  6.02  1.549  2.921  0.2109 -1.7088e+07  53706     -4.2217e+06  26609      3.6746e+07  19904       1.7673e+07  86567       -4.0483e+05  23742      2.4851e+07  8789        -5.4475e+06  1.3385e+05         96115  26629    3.7013e+07  36766       -2.4759e+07  1.8108e+05         4.8558e+06  23334       3.3535e+07  45392       0  0    0  0    0  0
5600.0   0.3292  0.4329  1.382  1.886  1.995  2.03  5.813  1.396  2.958  0.1841 -1.7001e+07  30357      -4.2223e+06  17368      3.6683e+07  18358       1.7745e+07  69787       -5.2772e+05  16192      2.4859e+07  5040.5      -5.4268e+06  83536      1.1848e+05  15053       3.6955e+07  20558       -2.4869e+07  1.548e+05  5.0404e+06  14744       3.3489e+07  31867       0  0    0  0    0  0
6400.0   0.3415  0.4689  1.014  1.808  1.964  2.075  5.798  1.329  2.816  0.2916 -1.69e+07  19749       -4.3291e+06  10014      3.67e+07  8879.7        1.7511e+07  41777       -5.1821e+05  7007       2.4875e+07  2678.8      -4.9825e+06  60180      14242  9974.4   3.6912e+07  10824       -2.5187e+07  98596      5.1161e+06  9304.4      3.3298e+07  24635       0  0    0  0    0  0
7200.0   0.4682  0.4423  0.7202  1.849  2.052  2.205  5.64  1.437  2.977  0.2293 -1.6893e+07  12780     -4.4307e+06  7104.7     3.6766e+07  5111        1.7682e+07  18908       -4.6776e+05  4545.7     2.4871e+07  1258.7      -4.8567e+06  39780      -35845  7611    3.6943e+07  6164.7      -2.5046e+07  55479      5.0832e+06  4390.1      3.329e+07  13016        0  0    0  0    0  0
8000.0   0.5404  0.4562  0.5552  1.776  1.955  2.106  5.458  1.184  2.692  0.09271 -1.6969e+07  10895   -4.4329e+06  5218.4     3.6786e+07  3662.8      1.7722e+07  13204       -4.6441e+05  3437.6     2.487e+07  855.22       -4.9816e+06  30931      -4203.5  5244.9         3.6958e+07  3994.6      -2.4984e+07  43406      5.0893e+06  2863.4      3.3306e+07  10259       0  0    0  0    0  0
8800.0   0.7221  0.5388  0.442  1.777  1.926  2.077  5.636  1.482  2.918  0.1617 -1.7073e+07  6583.7    -4.4238e+06  3096.9     3.6785e+07  2987        1.7625e+07  13797       -4.998e+05  2214.1      2.4881e+07  647.99      -5.2391e+06  23760      66747  1997.9   3.6901e+07  2605.5      -2.4894e+07  45026      5.1202e+06  2418.2      3.3297e+07  11400       0  0    0  0    0  0
9600.0   0.5254  0.5439  0.659  1.803  1.902  1.959  5.939  1.61  3.087  0.2226 -1.7193e+07  3377.6     -4.3633e+06  1690.3     3.6807e+07  1422.4      1.776e+07  7062.9       -5.2921e+05  1016.4     2.4881e+07  303.5       -5.6785e+06  10843      1.0683e+05  1319.8      3.69e+07  1287.2        -2.425e+07  21596       5.1145e+06  1371.6      3.348e+07  5465.4       0  0    0  0    0  0
