Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
0 0.5477  0.4667  1.494  0.2776  0.1157  0.2205  2.192  0.361  1.08  0.4387 0  0         9.913e+06  9.2774e+05   9.0035e+07  7.7329e+05  0  0    0  0    0  0    0  0    1.9995e+07  8.8495e+05  8.0168e+07  9.2456e+05  0  0    9.8713e+06  1.0522e+06  5.0002e+07  7.5157e+05  0  0    1.0019e+07  7.3379e+05  3.9822e+07  9.6565e+05
1   0.5477  0.4667  1.494  0.2776  0.1157  0.2205  2.192  0.361  1.08  0.4387 0  0      9.417e+06  9.3014e+05   8.7892e+07  7.8246e+05  0  0    0  0    0  0    0  0    1.9347e+07  8.8738e+05  8.0136e+07  9.2546e+05  0  0    1.0073e+07  1.0517e+06  4.9912e+07  7.5121e+05  0  0    1.0065e+07  7.3403e+05  3.9743e+07  9.654e+05
2   0.4626  0.448  1.397  0.2338  0.1172  0.222  2.042  0.3044  1.065  0.4386 0  0      8.7568e+06  9.3337e+05  8.5844e+07  7.946e+05   0  0    0  0    0  0    0  0    1.8975e+07  8.8903e+05  8.0233e+07  9.2517e+05  0  0    1.0098e+07  1.0516e+06  4.9862e+07  7.5105e+05  0  0    1.0288e+07  7.3526e+05  3.9709e+07  9.6519e+05
3   0.4973  0.4382  1.457  0.251  0.1387  0.2314  1.88  0.4078  1.136  0.4375 0  0      8.3312e+06  9.3551e+05  8.3784e+07  8.0831e+05  0  0    0  0    0  0    0  0    1.8449e+07  8.9133e+05  8.0021e+07  9.2764e+05  0  0    9.8969e+06  1.052e+06   4.98e+07  7.5092e+05    0  0    1.0444e+07  7.3609e+05  3.9694e+07  9.6522e+05
4   0.5542  0.4853  1.54  0.2209  0.09777  0.2864  2.083  0.3331  1.112  0.4536 0  0    7.6695e+06  9.3866e+05  8.1098e+07  8.2854e+05  0  0    0  0    0  0    0  0    1.7467e+07  8.9588e+05  7.9365e+07  9.343e+05   0  0    9.9047e+06  1.0519e+06  4.9931e+07  7.5195e+05  0  0    1.0648e+07  7.3693e+05  3.9508e+07  9.6436e+05
5   0.5092  0.4731  1.487  0.2076  0.1066  0.2875  1.971  0.4005  1.126  0.449 0  0     6.7432e+06  9.4402e+05  7.8679e+07  8.5356e+05  0  0    0  0    0  0    0  0    1.6516e+07  9.0141e+05  7.8631e+07  9.4245e+05  0  0    9.6097e+06  1.0525e+06  4.9972e+07  7.5254e+05  0  0    1.0926e+07  7.3848e+05  3.9742e+07  9.6485e+05
6   0.5414  0.4861  1.526  0.2123  0.1003  0.2887  2.016  0.4194  1.159  0.451 0  0     5.7256e+06  9.5009e+05  7.5751e+07  8.8475e+05  0  0    0  0    0  0    0  0    1.539e+07  9.0836e+05   7.7574e+07  9.5377e+05  0  0    9.4212e+06  1.0528e+06  5.0299e+07  7.5459e+05  0  0    1.1264e+07  7.4034e+05  3.9852e+07  9.65e+05
7   0.5473  0.4892  1.54  0.2096  0.09571  0.2908  2.067  0.4279  1.164  0.4458 0  0    5.5099e+06  9.5169e+05  7.5792e+07  8.8558e+05  0  0    0  0    0  0    0  0    1.5575e+07  9.0824e+05  7.8388e+07  9.491e+05   0  0    8.968e+06  1.0538e+06   5.0133e+07  7.5426e+05  0  0    1.1695e+07  7.4285e+05  4.0814e+07  9.6704e+05
8   0.5349  0.4914  1.526  0.2027  0.09193  0.283  2.126  0.4085  1.165  0.4455 0  0    5.4106e+06  9.5241e+05  7.5698e+07  8.8755e+05  0  0    0  0    0  0    0  0    1.5857e+07  9.0721e+05  7.8962e+07  9.4637e+05  0  0    8.4519e+06  1.055e+06   4.9954e+07  7.538e+05   0  0    1.1841e+07  7.4369e+05  4.1795e+07  9.6961e+05
9   0.5409  0.486  1.533  0.2096  0.09434  0.2721  2.124  0.4417  1.167  0.4499 0  0    4.0584e+06  9.6123e+05  7.159e+07  9.34e+05     0  0    0  0    0  0    0  0    1.4279e+07  9.173e+05   7.766e+07  9.6015e+05   0  0    8.4113e+06  1.055e+06   5.0376e+07  7.5647e+05  0  0    1.2447e+07  7.4743e+05  4.2154e+07  9.7069e+05
10   0.5587  0.4917  1.558  0.2187  0.09717  0.2737  2.09  0.4729  1.196  0.4346 0  0   4.5548e+06  9.5752e+05  7.4077e+07  8.9355e+05  0  0    0  0    0  0    0  0    1.5315e+07  9.1029e+05  7.7871e+07  9.6218e+05  0  0    8.3236e+06  1.0553e+06  5.0361e+07  7.5716e+05  0  0    1.2623e+07  7.4881e+05  4.2364e+07  9.7121e+05
