x y
0.080000 0.124000
0.080000 0.114000
0.080000 0.104000
0.080000 0.094000
0.080000 0.084000
0.080000 0.074000
0.080000 0.064000
0.080000 0.054000
0.080000 0.044000
0.080000 0.034000
0.080000 0.024000
0.080000 0.014000
0.080000 0.004000
0.070000 0.124000
0.070000 0.114000
0.070000 0.104000
0.070000 0.094000
0.070000 0.084000
0.070000 0.074000
0.070000 0.064000
0.070000 0.054000
0.070000 0.044000
0.070000 0.034000
0.070000 0.024000
0.070000 0.014000
0.070000 0.004000
0.060000 0.124000
0.060000 0.114000
0.060000 0.104000
0.060000 0.094000
0.060000 0.084000
0.060000 0.074000
0.060000 0.064000
0.060000 0.054000
0.060000 0.044000
0.060000 0.034000
0.060000 0.024000
0.060000 0.014000
0.060000 0.004000
0.050000 0.124000
0.050000 0.114000
0.050000 0.104000
0.050000 0.094000
0.050000 0.084000
0.050000 0.074000
0.050000 0.064000
0.050000 0.054000
0.050000 0.044000
0.050000 0.034000
0.050000 0.024000
0.050000 0.014000
0.050000 0.004000
0.040000 0.124000
0.040000 0.114000
0.040000 0.104000
0.040000 0.094000
0.040000 0.084000
0.040000 0.074000
0.040000 0.064000
0.040000 0.054000
0.040000 0.044000
0.040000 0.034000
0.040000 0.024000
0.040000 0.014000
0.040000 0.004000
0.030000 0.124000
0.030000 0.114000
0.030000 0.104000
0.030000 0.094000
0.030000 0.084000
0.030000 0.074000
0.030000 0.064000
0.030000 0.054000
0.030000 0.044000
0.030000 0.034000
0.030000 0.024000
0.030000 0.014000
0.030000 0.004000
0.020000 0.124000
0.020000 0.114000
0.020000 0.104000
0.020000 0.094000
0.020000 0.084000
0.020000 0.074000
0.020000 0.064000
0.020000 0.054000
0.020000 0.044000
0.020000 0.034000
0.020000 0.024000
0.020000 0.014000
0.020000 0.004000
0.010000 0.124000
0.010000 0.114000
0.010000 0.104000
0.010000 0.094000
0.010000 0.084000
0.010000 0.074000
0.010000 0.064000
0.010000 0.054000
0.010000 0.044000
0.010000 0.034000
0.010000 0.024000
0.010000 0.014000
0.010000 0.004000
-0.000000 0.124000
-0.000000 0.114000
-0.000000 0.104000
-0.000000 0.094000
-0.000000 0.084000
-0.000000 0.074000
-0.000000 0.064000
-0.000000 0.054000
-0.000000 0.044000
-0.000000 0.034000
-0.000000 0.024000
-0.000000 0.014000
-0.000000 0.004000
